condition,nominal_velocity_cm_s,source_file,source_sha256,status,quality_flags,n_times_total,n_atoms,n_fit_points,start_index,end_index_exclusive,amplitude,amplitude_sigma,tau,tau_sigma,start_time,end_time,reduced_chi2,r_squared,residual_lag1_correlation,initial_mean_velocity,observed_decay_fraction,start_mean_velocity,start_velocity_sem,end_mean_velocity,end_velocity_sem,peak_time,thermalization_end_time,target_fit_start_time,window_selection_score,candidate_window_count,message
0,100000.0,trajvel_v1.0e+05_c0.txt,050d945742303430c8cc4a51f9aa2ad3121f4d1646e26b80c2339fd6a6e30c9e,review,correlated_residuals,1000,1000,141,86,227,106764.27612657327,121.93778325914877,3.6535305314169587e-09,6.836792678467878e-11,1.19988727694e-10,3.15282694958e-10,0.0077632546567200575,0.9538064445321484,0.9605701845268355,102756.23355768417,0.2730819462727563,102756.23355768417,3929.657134130254,74695.36130609387,4085.134641322705,7.3949031464e-11,2.7909335234e-11,1.19988727694e-10,0.007653137569390695,83,Both `ftol` and `xtol` termination conditions are satisfied.
0,180000.0,trajvel_v1.8e+05_c0.txt,279cc6361b0ffceee13a410b3944d58fa697bbc6dcfc6aef4aee5f37bc905cc3,review,correlated_residuals,1000,1000,161,23,184,186254.55859268078,46.44020054350985,3.125347152007294e-09,1.4013176799444329e-11,3.5957400786e-11,2.8591825206e-10,0.0036640033261226,0.9968214037965932,0.8924873288524522,184554.05296776813,0.3558128385599818,184554.05296776813,3889.0748500086306,118887.35151355731,3916.857960698246,3.281029122e-11,3.1270216326e-11,3.4350366114000004e-11,0.0036184877568539962,89,`ftol` termination condition is satisfied.
0,310000.0,trajvel_v3.1e+05_c0.txt,cdc1bbbbca0fff93012f4088334e8fcda5682252d1b2c75b6038fc7fcbcf4dd1,review,correlated_residuals,1000,1000,101,26,127,317382.7166576154,65.92552580068934,3.491583698784992e-09,2.111029185484463e-11,3.857161217e-11,1.8689588735999997e-10,0.0035844719311804328,0.9963918222444005,0.89709938255712,313705.4305158715,0.32391786025919267,313705.4305158715,3883.1363015248776,212090.63871148156,4021.836563233589,3.4130401304999995e-11,2.968919043999999e-11,3.857161217e-11,0.00351349228897884,89,Both `ftol` and `xtol` termination conditions are satisfied.
0,540000.0,trajvel_v5.4e+05_c0.txt,b2ab70a46f5157d8c1fc3350d242c6f94d5bb76edf088e0aeeb2b694542e67e0,review,correlated_residuals,1000,1000,111,22,133,545976.872961533,70.87813889525724,3.680086967636144e-09,1.474410565328271e-11,3.1787692854e-11,1.90726157124e-10,0.00515241255582145,0.9982603878195525,0.9443231759558316,541169.1004024546,0.29738256232858495,541169.1004024546,3927.707855153381,380234.8466717174,3946.6241473051414,3.0321374238e-11,2.8907424144e-11,3.1735324332e-11,0.005059576293554397,89,`xtol` termination condition is satisfied.
0,950000.0,trajvel_v9.5e+05_c0.txt,43b6d66a27c040aae4b93fd47ad6fc952c34f46100f3bdba449f4c5528c8364a,review,correlated_residuals,1000,1000,231,22,253,957474.9096112014,61.04447531894043,5.111716805831117e-09,8.659535719635391e-12,2.8572059835e-11,3.2708924885999997e-10,0.009782618774188036,0.9993538218693214,0.979586806842598,951453.4341247977,0.22173891765055187,951453.4341247977,3943.566567874636,740479.1794470644,4504.392115322922,2.727142275e-11,2.5970785665e-11,2.8572059834999997e-11,0.009697920776143117,89,Both `ftol` and `xtol` termination conditions are satisfied.
0,1700000.0,trajvel_v1.7e+06_c0.txt,61aaf92596b32ffd400ef2f48d7b12646cdf15a3a3940d53059465b1d631b9da,review,correlated_residuals,1000,1000,141,22,163,1706583.709840349,24.251900736561126,1.1101751011763224e-08,1.7263671165919723e-11,2.2459164670000003e-11,1.6527483918800003e-10,0.0008531664919246864,0.9996686710168085,0.8537862917043599,1702730.447318287,0.08616927242800121,1702730.447318287,3927.784245279084,1556007.4035318652,4722.717655098558,2.1413121384000003e-11,2.0397844077000002e-11,2.2428398691000004e-11,0.0008410648395569603,89,`ftol` termination condition is satisfied.
0,2900000.0,trajvel_v2.9e+06_c0.txt,66c7ab6ef044cc2d58adcae24549054b184b7baa36db8a1d643b4a94752a53c2,review,correlated_residuals,1000,1000,101,23,124,2905900.145551085,21.01766500452847,4.2645495816516e-08,2.1976547555473827e-10,1.7531460456e-11,9.3716761552e-11,0.0003983880322358382,0.9973732384469031,0.8879688241525387,2904674.3205344602,0.01780236307936367,2904674.3205344602,3918.586582825874,2852964.253653002,4191.488779893924,1.6000422704e-11,1.5245685784e-11,1.6755159624000002e-11,0.000390499160310376,89,Both `ftol` and `xtol` termination conditions are satisfied.
0,5100000.0,trajvel_v5.1e+06_c0.txt,4fef5e51145e27ab293ad3e95f602c24d4d52b744754452c515184fc7ecb8253,review,correlated_residuals,1000,1000,101,26,127,5106005.79457357,37.59809960796484,1.1748134843317114e-07,2.811312151259031e-09,1.1573376057e-11,5.6070291222000006e-11,0.0011869364883460294,0.9463390119982951,0.9275024539610291,5105382.9429117385,0.002706004248439031,5105382.9429117385,3915.916709888948,5091567.754978311,4062.159548441937,1.0236379545e-11,8.899383033000001e-12,1.1573376057e-11,0.0011634327955074941,89,Both `ftol` and `xtol` termination conditions are satisfied.
0,9000000.0,trajvel_v9.0e+06_c0.txt,c8c127a8795c6622c4405a458838028917966c972d38f201b3d5de1dfd3850a2,ignored,start_end_velocity_intervals_overlap,1000,1000,0,22,1000,nan,nan,nan,nan,5.13341166e-12,2.329884438752e-10,nan,nan,nan,9005704.733923605,0.00035912811865768113,9005704.733923605,3922.1762812099128,9002470.532125324,4026.9587449809196,4.8938524492e-12,4.6628489245e-12,5.124855973899999e-12,nan,0,excluded before fitting by velocity-identifiability rules
0,16000000.0,trajvel_v1.6e+07_c0.txt,1ce152b3e7b397d511a98a26e5a1020014c4af8655d61ad5f1ea9a723e06b42b,ignored,start_end_velocity_intervals_overlap,1000,1000,0,259,1000,nan,nan,nan,nan,5.42338369204e-11,2.091797118248e-10,nan,nan,nan,16005706.146147808,2.6596744196139e-05,16005706.146147808,3912.2168007006544,16005280.446475761,3926.134546580387,2.91063856764e-11,4.1862232656e-12,5.402654808720001e-11,nan,0,excluded before fitting by velocity-identifiability rules
