at_lower_bound,at_upper_bound,best_bmax_over_aH,best_bmax_over_debye_length,condition,converged,data_acceleration_cm_s2,data_acceleration_sigma_cm_s2,log_residual,method,model_acceleration_cm_s2,resolution_rhores_dphires,source,velocity_cm_s,vres
False,False,0.30730521170805014,0.12139816854441994,0,True,27493624298957.594,516394890849.72955,1.7763568394002505e-14,vectorized,27493624298958.098,360,"theory\dataprocessing\output_dais\results.npy[0,0,10]",100448.79579554875,101
False,False,0.3074345993006709,0.1214492819527778,0,True,28278097109992.25,530432926319.89105,7.105427357601002e-15,vectorized,28278097109992.39,360,"theory\dataprocessing\output_dais\results.npy[0,0,0]",103314.89116173035,101
False,False,0.385643389569996,0.15234496331789146,0,True,56484704420162.97,254015777613.85767,-2.106759211528697e-12,vectorized,56484704420044.055,360,"theory\dataprocessing\output_dais\results.npy[0,1,10]",176534.31009153015,101
False,False,0.3865249963668494,0.15269323417838046,0,True,58913123565496.47,264575431143.16876,-1.978861519091879e-12,vectorized,58913123565379.836,360,"theory\dataprocessing\output_dais\results.npy[0,1,0]",184123.9629512782,101
False,False,0.34831625789330695,0.13759921462921818,0,True,87913005144996.06,532136381802.91754,-1.9802826045633992e-11,vectorized,87913005143254.95,360,"theory\dataprocessing\output_dais\results.npy[0,2,10]",306955.6156754694,101
False,False,0.34951068898830534,0.1380710639238636,0,True,89900716699414.42,543898112842.49255,-1.878674993349705e-11,vectorized,89900716697725.64,360,"theory\dataprocessing\output_dais\results.npy[0,2,0]",313895.8769367631,101
False,False,0.3762685803558625,0.1486415289936784,0,True,143778157794720.72,576626340295.8772,-5.4924953474255744e-12,vectorized,143778157793931.53,360,"theory\dataprocessing\output_dais\results.npy[0,3,10]",529116.1247310848,101
False,False,0.3803960311581687,0.1502720414258372,0,True,147083797788060.62,589615970588.5692,-4.298783551348606e-12,vectorized,147083797787428.6,360,"theory\dataprocessing\output_dais\results.npy[0,3,0]",541281.1673902718,101
False,False,0.3696667296334337,0.1460335270588856,0,True,180627800255340.25,306411955219.65515,-2.518873998269555e-11,vectorized,180627800250790.2,360,"theory\dataprocessing\output_dais\results.npy[0,4,10]",923318.1621655289,101
False,False,0.387404802022748,0.15304079351428454,0,True,186265798122927.66,315773049986.4541,-1.1695533430611249e-11,vectorized,186265798120749.56,360,"theory\dataprocessing\output_dais\results.npy[0,4,0]",952138.0106165154,101
