base_dphires,base_rhores,base_vres,bmax_over_aH,condition,density_g_cc,dphires,force_n,relative_error_vs_largest_bmax,resolution_scale_factor,resolution_scale_per_decade,resolution_scale_reference_bmax_over_aH,rhores,temperature_K,velocity_cm_s,velocity_index,velocity_m_s,vres
360,360,101,0.1,0,1e-05,360,4.7264281345238445e-15,0.881132696542212,1.0,1.5,0.1,360,5000.0,100000.0,0,1000.0,101
360,360,101,0.1,0,1e-05,360,7.448390166192173e-15,0.8803997855001983,1.0,1.5,0.1,360,5000.0,158489.3192461114,1,1584.893192461114,101
360,360,101,0.1,0,1e-05,360,1.163721950386849e-14,0.878551548894768,1.0,1.5,0.1,360,5000.0,251188.6431509582,2,2511.886431509582,101
360,360,101,0.1,0,1e-05,360,1.779638020742319e-14,0.8738271413837978,1.0,1.5,0.1,360,5000.0,398107.1705534969,3,3981.071705534969,101
360,360,101,0.1,0,1e-05,360,2.581705220851546e-14,0.8614609962291421,1.0,1.5,0.1,360,5000.0,630957.344480193,4,6309.57344480193,101
360,360,101,0.1,0,1e-05,360,3.3045336111407376e-14,0.8275136968383012,1.0,1.5,0.1,360,5000.0,1000000.0,5,10000.0,101
360,360,101,0.1,0,1e-05,360,3.2444912471881224e-14,0.7317068286544733,1.0,1.5,0.1,360,5000.0,1584893.1924611141,6,15848.93192461114,101
360,360,101,0.1,0,1e-05,360,2.1512451729140536e-14,0.5504716989141613,1.0,1.5,0.1,360,5000.0,2511886.4315095823,7,25118.864315095823,101
360,360,101,0.1,0,1e-05,360,1.1086964119544273e-14,0.4325152323333691,1.0,1.5,0.1,360,5000.0,3981071.705534969,8,39810.71705534969,101
360,360,101,0.1,0,1e-05,360,5.348941381876174e-15,0.3696338310592969,1.0,1.5,0.1,360,5000.0,6309573.444801929,9,63095.73444801929,101
360,360,101,0.1,0,1e-05,360,2.5077946132260353e-15,0.32536182700750194,1.0,1.5,0.1,360,5000.0,10000000.0,10,100000.0,101
360,360,101,0.1,0,1e-05,360,1.1514511436528226e-15,0.27938326676544983,1.0,1.5,0.1,360,5000.0,15848931.924611142,11,158489.3192461114,101
360,360,101,0.1,0,1e-05,360,5.199655453492994e-16,0.22082718827065995,1.0,1.5,0.1,360,5000.0,25118864.315095823,12,251188.64315095823,101
360,360,101,0.1,0,1e-05,360,2.316686142360466e-16,0.22979787757689346,1.0,1.5,0.1,360,5000.0,39810717.05534969,13,398107.1705534969,101
360,360,101,0.1,0,1e-05,360,1.0210527930490468e-16,0.5009769373547396,1.0,1.5,0.1,360,5000.0,63095734.44801943,14,630957.3444801943,101
360,360,101,0.1,0,1e-05,360,4.4616786788593037e-17,0.848425523220805,1.0,1.5,0.1,360,5000.0,100000000.0,15,1000000.0,101
360,360,101,1.0,0,1e-05,540,2.659700502712044e-14,0.33109862719926086,1.5,1.5,0.1,540,5000.0,100000.0,0,1000.0,152
360,360,101,1.0,0,1e-05,540,4.170601841976005e-14,0.3303185470094654,1.5,1.5,0.1,540,5000.0,158489.3192461114,1,1584.893192461114,152
360,360,101,1.0,0,1e-05,540,6.435709533054903e-14,0.32835592360110705,1.5,1.5,0.1,540,5000.0,251188.6431509582,2,2511.886431509582,152
360,360,101,1.0,0,1e-05,540,9.542956500090652e-14,0.32342302915945276,1.5,1.5,0.1,540,5000.0,398107.1705534969,3,3981.071705534969,152
