dphires,force_n,relative_error,resolution,rhores,scan_type,velocity_cm_s,velocity_index,velocity_m_s,vres
30,2.660340607005238e-14,0.0002693007155256078,30,1000,dphires,100000.0,0,1000.0,1000
30,4.171616024451926e-14,0.00027184476884649546,30,1000,dphires,158489.3192461114,1,1584.893192461114,1000
30,6.437304863888921e-14,0.00027831228528484855,30,1000,dphires,251188.6431509582,2,2511.886431509582,1000
30,9.545498376082771e-14,0.00029503136454540636,30,1000,dphires,398107.1705534969,3,3981.071705534969,1000
30,1.284365145569629e-13,0.0003400879814139815,30,1000,dphires,630957.344480193,4,6309.57344480193,1000
30,1.3799922137352337e-13,0.00047343131287273126,30,1000,dphires,1000000.0,5,10000.0,1000
30,9.56204784618806e-14,0.0009357648984312417,30,1000,dphires,1584893.1924611141,6,15848.93192461114,1000
30,4.1950139659193624e-14,0.002542303122716805,30,1000,dphires,2511886.4315095823,7,25118.864315095823,1000
30,1.776991478220837e-14,0.0064849662325152276,30,1000,dphires,3981071.705534969,8,39810.71705534969,1000
30,7.900452620784379e-15,0.015261572209166956,30,1000,dphires,6309573.444801929,9,63095.73444801929,1000
30,3.571332948711826e-15,0.03541612673053986,30,1000,dphires,10000000.0,10,100000.0,1000
30,1.6490932775588758e-15,0.08360456345240211,30,1000,dphires,15848931.924611142,11,158489.3192461114,1000
30,8.050855553562414e-16,0.20753915901801456,30,1000,dphires,25118864.315095823,12,251188.64315095823,1000
30,4.555749105311632e-16,0.5710373920464755,30,1000,dphires,39810717.05534969,13,398107.1705534969,1000
30,3.5894291807572744e-16,1.8643410518683237,30,1000,dphires,63095734.44801943,14,630957.3444801943,1000
30,4.582442824977079e-16,7.506979468523634,30,1000,dphires,100000000.0,15,1000000.0,1000
100,2.65968832930075e-14,2.4048900166924064e-05,100,1000,dphires,100000.0,0,1000.0,1000
100,4.170583543932869e-14,2.4276155764326363e-05,100,1000,dphires,158489.3192461114,1,1584.893192461114,1000
100,6.435673728861014e-14,2.4853885019146202e-05,100,1000,dphires,251188.6431509582,2,2511.886431509582,1000
100,9.54293440972506e-14,2.634735170958443e-05,100,1000,dphires,398107.1705534969,3,3981.071705534969,1000
100,1.283967492433428e-13,3.037202982065647e-05,100,1000,dphires,630957.344480193,4,6309.57344480193,1000
100,1.3793975125052303e-13,4.228193806791607e-05,100,1000,dphires,1000000.0,5,10000.0,1000
100,9.553906672093417e-14,8.356331455803439e-05,100,1000,dphires,1584893.1924611141,6,15848.93192461114,1000
100,4.1853251499924974e-14,0.00022682863019684964,100,1000,dphires,2511886.4315095823,7,25118.864315095823,1000
100,1.7665609010538267e-14,0.000577104975783059,100,1000,dphires,3981071.705534969,8,39810.71705534969,1000
100,7.792201114585176e-15,0.0013505218360932642,100,1000,dphires,6309573.444801929,9,63095.73444801929,1000
100,3.4598473896810238e-15,0.0030937565186839933,100,1000,dphires,10000000.0,10,100000.0,1000
100,1.5326337494085852e-15,0.007080040626152867,100,1000,dphires,15848931.924611142,11,158489.3192461114,1000
100,6.776099479081343e-16,0.016339867478018303,100,1000,dphires,25118864.315095823,12,251188.64315095823,1000
100,3.011113410828738e-16,0.038374074329309844,100,1000,dphires,39810717.05534969,13,398107.1705534969,1000
100,1.3699948058208597e-16,0.09324691073335875,100,1000,dphires,63095734.44801943,14,630957.3444801943,1000
100,6.693850661594318e-17,0.24266580770336263,100,1000,dphires,100000000.0,15,1000000.0,1000
300,2.659630901925197e-14,2.4566120835879842e-06,300,1000,dphires,100000.0,0,1000.0,1000
300,4.170492642738526e-14,2.47982915511113e-06,300,1000,dphires,158489.3192461114,1,1584.893192461114,1000
300,6.435530120156623e-14,2.5388517100795486e-06,300,1000,dphires,251188.6431509582,2,2511.886431509582,1000
300,9.542708668757788e-14,2.6914294055188285e-06,300,1000,dphires,398107.1705534969,3,3981.071705534969,1000
300,1.283932480446469e-13,3.1026086316375035e-06,300,1000,dphires,630957.344480193,4,6309.57344480193,1000
300,1.379345149299682e-13,4.319407984110604e-06,300,1000,dphires,1000000.0,5,10000.0,1000
300,9.553189939523049e-14,8.537203510584303e-06,300,1000,dphires,1584893.1924611141,6,15848.93192461114,1000
300,4.1844729878292964e-14,2.3175287283034578e-05,300,1000,dphires,2511886.4315095823,7,25118.864315095823,1000
300,1.7656460834624838e-14,5.895384010424949e-05,300,1000,dphires,3981071.705534969,8,39810.71705534969,1000
300,7.782764692325007e-15,0.00013787778141157418,300,1000,dphires,6309573.444801929,9,63095.73444801929,1000
300,3.4502644826057166e-15,0.0003154391035261018,300,1000,dphires,10000000.0,10,100000.0,1000
300,1.5229543178600423e-15,0.0007197720225766814,300,1000,dphires,15848931.924611142,11,158489.3192461114,1000
300,6.67815573128177e-16,0.0016493901663696636,300,1000,dphires,25118864.315095823,12,251188.64315095823,1000
300,2.9108731613532724e-16,0.0038065034482854462,300,1000,dphires,39810717.05534969,13,398107.1705534969,1000
300,1.2642553432157664e-16,0.008867509917776784,300,1000,dphires,63095734.44801943,14,630957.3444801943,1000
300,5.499532384332949e-17,0.020949106555088075,300,1000,dphires,100000000.0,15,1000000.0,1000
1000,2.6596243682598362e-14,0.0,1000,1000,dphires,100000.0,0,1000.0,1000
1000,4.170482300654926e-14,0.0,1000,1000,dphires,158489.3192461114,1,1584.893192461114,1000
1000,6.435513781341454e-14,0.0,1000,1000,dphires,251188.6431509582,2,2511.886431509582,1000
1000,9.542682985300194e-14,0.0,1000,1000,dphires,398107.1705534969,3,3981.071705534969,1000
1000,1.283928496918832e-13,0.0,1000,1000,dphires,630957.344480193,4,6309.57344480193,1000
1000,1.379339191370966e-13,0.0,1000,1000,dphires,1000000.0,5,10000.0,1000
1000,9.553108382692627e-14,0.0,1000,1000,dphires,1584893.1924611141,6,15848.93192461114,1000
1000,4.1843760137130783e-14,0.0,1000,1000,dphires,2511886.4315095823,7,25118.864315095823,1000
1000,1.7655419979818374e-14,0.0,1000,1000,dphires,3981071.705534969,8,39810.71705534969,1000
1000,7.78169176992814e-15,0.0,1000,1000,dphires,6309573.444801929,9,63095.73444801929,1000
1000,3.4491764774697602e-15,0.0,1000,1000,dphires,10000000.0,10,100000.0,1000
1000,1.5218589263825235e-15,0.0,1000,1000,dphires,15848931.924611142,11,158489.3192461114,1000
1000,6.667158984814594e-16,0.0,1000,1000,dphires,25118864.315095823,12,251188.64315095823,1000
1000,2.899834929693934e-16,0.0,1000,1000,dphires,39810717.05534969,13,398107.1705534969,1000
1000,1.2531430844856961e-16,0.0,1000,1000,dphires,63095734.44801943,14,630957.3444801943,1000
1000,5.3866861227682625e-17,0.0,1000,1000,dphires,100000000.0,15,1000000.0,1000
1000,2.6946425161125337e-14,0.013166576555173257,30,30,rhores,100000.0,0,1000.0,1000
1000,4.225230935140356e-14,0.013127650602145536,30,30,rhores,158489.3192461114,1,1584.893192461114,1000
1000,6.519369342216997e-14,0.013030126843744183,30,30,rhores,251188.6431509582,2,2511.886431509582,1000
1000,9.66470401417073e-14,0.012786868122780659,30,30,rhores,398107.1705534969,3,3981.071705534969,1000
1000,1.299576256324072e-13,0.012187407198135575,30,30,rhores,630957.344480193,4,6309.57344480193,1000
1000,1.3941905665624634e-13,0.010767021835097758,30,30,rhores,1000000.0,5,10000.0,1000
1000,9.628502405479368e-14,0.007892093313139089,30,30,rhores,1584893.1924611141,6,15848.93192461114,1000
1000,4.2045628686670557e-14,0.004824340567822011,30,30,rhores,2511886.4315095823,7,25118.864315095823,1000
1000,1.7720990306405965e-14,0.0037138922020854095,30,30,rhores,3981071.705534969,8,39810.71705534969,1000
1000,7.806398474339188e-15,0.0031749785447073554,30,30,rhores,6309573.444801929,9,63095.73444801929,1000
1000,3.4588183549459626e-15,0.002795414366062085,30,30,rhores,10000000.0,10,100000.0,1000
1000,1.5256682717699176e-15,0.0025030870610648153,30,30,rhores,15848931.924611142,11,158489.3192461114,1000
1000,6.682279541419422e-16,0.002267916010292708,30,30,rhores,25118864.315095823,12,251188.64315095823,1000
1000,2.9058489145557073e-16,0.0020739059317449572,30,30,rhores,39810717.05534969,13,398107.1705534969,1000
1000,1.2555374711543872e-16,0.0019107049293367315,30,30,rhores,63095734.44801943,14,630957.3444801943,1000
1000,5.396230959380788e-17,0.0017719310899110667,30,30,rhores,100000000.0,15,1000000.0,1000
1000,2.6628161050786343e-14,0.0012000705275859906,100,100,rhores,100000.0,0,1000.0,1000
1000,4.175472220136478e-14,0.0011964849918601615,100,100,rhores,158489.3192461114,1,1584.893192461114,1000
1000,6.44315597046664e-14,0.0011875025654273827,100,100,rhores,251188.6431509582,2,2511.886431509582,1000
1000,9.553801177322996e-14,0.0011651012655381448,100,100,rhores,398107.1705534969,3,3981.071705534969,1000
1000,1.2853535583757945e-13,0.0011099227568999114,100,100,rhores,630957.344480193,4,6309.57344480193,1000
