condition,dphires,force_n,resolution,rhores,scan_type,velocity_cm_s,velocity_m_s
0,8,2.904722767883413e-14,8,16,dphires,100000.0,1000.0
0,8,2.9448580054718914e-14,8,16,dphires,3162277.6601683795,31622.776601683796
0,8,5.739219715199013e-14,8,16,dphires,100000000.0,1000000.0
0,16,2.8969167718755424e-14,16,16,dphires,100000.0,1000.0
0,16,2.818537694479157e-14,16,16,dphires,3162277.6601683795,31622.776601683796
0,16,3.9962699486940855e-15,16,16,dphires,100000000.0,1000000.0
0,16,3.132958976318572e-14,8,8,rhores,100000.0,1000.0
0,16,2.931419821620804e-14,8,8,rhores,3162277.6601683795,31622.776601683796
0,16,5.710191130692848e-15,8,8,rhores,100000000.0,1000000.0
0,16,2.8969167718755424e-14,16,16,rhores,100000.0,1000.0
0,16,2.818537694479157e-14,16,16,rhores,3162277.6601683795,31622.776601683796
0,16,3.9962699486940855e-15,16,16,rhores,100000000.0,1000000.0
