condition,method,n,reference_value,relative_error,scan_type,speed_m_s,value
0,quad_impact,45,5.820338685601247e-18,7.1018339432160815e-12,dphires,100.0,5.820338685642582e-18
0,quad_impact,90,5.820338685601247e-18,1.546875154584135e-12,dphires,100.0,5.8203386856102506e-18
0,quad_impact,180,5.820338685601247e-18,1.8278724980582617e-13,dphires,100.0,5.820338685602311e-18
0,quad_impact,360,5.820338685601247e-18,1.671689330229967e-13,dphires,100.0,5.820338685600274e-18
0,quad_impact,720,5.820338685601247e-18,3.1342520459101837e-13,dphires,100.0,5.820338685599423e-18
0,quad_impact,1440,5.820338685601247e-18,5.7205394182533e-13,dphires,100.0,5.820338685597918e-18
0,quad_impact,2880,5.820338685601247e-18,2.9860103950901073e-13,dphires,100.0,5.820338685599509e-18
0,quad_angle,45,5.820338685601247e-18,0.04849713233711192,rhores,100.0,6.102608421083663e-18
0,quad_angle,90,5.820338685601247e-18,0.013394923654143277,rhores,100.0,5.898301677936133e-18
0,quad_angle,180,5.820338685601247e-18,0.0034337436262651304,rhores,100.0,5.840324236465635e-18
0,quad_angle,360,5.820338685601247e-18,0.0008638421069211257,rhores,100.0,5.8253665392344116e-18
0,quad_angle,720,5.820338685601247e-18,0.0002162998880523138,rhores,100.0,5.821597624207369e-18
0,quad_angle,1440,5.820338685601247e-18,5.409620509998672e-05,rhores,100.0,5.820653543836535e-18
0,quad_angle,2880,5.820338685601247e-18,1.3525378510688858e-05,rhores,100.0,5.8204174078850304e-18
0,vectorized,45,5.820338685601247e-18,0.04849713234504973,vectorized,100.0,6.102608421129864e-18
0,vectorized,90,5.820338685601247e-18,0.013394923655805835,vectorized,100.0,5.898301677945809e-18
0,vectorized,180,5.820338685601247e-18,0.0034337436267830495,vectorized,100.0,5.8403242364686494e-18
0,vectorized,360,5.820338685601247e-18,0.0008638421068860505,vectorized,100.0,5.8253665392342074e-18
0,vectorized,720,5.820338685601247e-18,0.00021629988810631612,vectorized,100.0,5.821597624207684e-18
0,vectorized,1440,5.820338685601247e-18,5.4096204930038256e-05,vectorized,100.0,5.820653543835546e-18
0,vectorized,2880,5.820338685601247e-18,1.3525378540601905e-05,vectorized,100.0,5.8204174078852045e-18
0,quad_impact,45,2.3857099329019603e-20,0.00023896533052680205,dphires,10000.0,2.3862800348646173e-20
0,quad_impact,90,2.3857099329019603e-20,5.975960096983015e-05,dphires,10000.0,2.3858525019755803e-20
0,quad_impact,180,2.3857099329019603e-20,1.494121734420169e-05,dphires,10000.0,2.385745578312588e-20
0,quad_impact,360,2.3857099329019603e-20,3.7353905994848715e-06,dphires,10000.0,2.3857188444604167e-20
0,quad_impact,720,2.3857099329019603e-20,9.338531718385064e-07,dphires,10000.0,2.3857121608047482e-20
0,quad_impact,1440,2.3857099329019603e-20,2.334636740829014e-07,dphires,10000.0,2.3857104898785665e-20
0,quad_impact,2880,2.3857099329019603e-20,5.836594447343552e-08,dphires,10000.0,2.3857100721461738e-20
0,quad_angle,45,2.3857099329019603e-20,0.0034660629334407,rhores,10000.0,2.393978953670333e-20
