,Temp (K),rho (gcc)
0,5000.0,1.0
1,5000.0,0.1
2,5000.0,0.01
3,5000.0,0.001
4,5000.0,0.0001
5,5000.0,1e-05
6,5000.0,1e-06
7,5000.0,1e-07
8,5000.0,1e-08
9,5000.0,1e-09
10,5000.0,1e-10
11,10000.0,1.0
12,10000.0,0.1
13,10000.0,0.01
14,10000.0,0.001
15,10000.0,0.0001
16,10000.0,1e-05
17,10000.0,1e-06
18,10000.0,1e-07
19,10000.0,1e-08
20,10000.0,1e-09
21,10000.0,1e-10
22,15000.0,1.0
23,15000.0,0.1
24,15000.0,0.01
25,15000.0,0.001
26,15000.0,0.0001
27,15000.0,1e-05
28,15000.0,1e-06
29,15000.0,1e-07
30,15000.0,1e-08
31,15000.0,1e-09
32,15000.0,1e-10
33,20000.0,1.0
34,20000.0,0.1
35,20000.0,0.01
36,20000.0,0.001
37,20000.0,0.0001
38,20000.0,1e-05
39,20000.0,1e-06
40,20000.0,1e-07
41,20000.0,1e-08
42,20000.0,1e-09
43,20000.0,1e-10
44,25000.0,1.0
45,25000.0,0.1
46,25000.0,0.01
47,25000.0,0.001
48,25000.0,0.0001
49,25000.0,1e-05
50,25000.0,1e-06
51,25000.0,1e-07
52,25000.0,1e-08
53,25000.0,1e-09
54,25000.0,1e-10
55,30000.0,1.0
56,30000.0,0.1
57,30000.0,0.01
58,30000.0,0.001
59,30000.0,0.0001
60,30000.0,1e-05
61,30000.0,1e-06
62,30000.0,1e-07
63,30000.0,1e-08
64,30000.0,1e-09
65,30000.0,1e-10
66,35000.0,1.0
67,35000.0,0.1
68,35000.0,0.01
69,35000.0,0.001
70,35000.0,0.0001
71,35000.0,1e-05
72,35000.0,1e-06
73,35000.0,1e-07
74,35000.0,1e-08
75,35000.0,1e-09
76,35000.0,1e-10
77,40000.0,1.0
78,40000.0,0.1
79,40000.0,0.01
80,40000.0,0.001
81,40000.0,0.0001
82,40000.0,1e-05
83,40000.0,1e-06
84,40000.0,1e-07
85,40000.0,1e-08
86,40000.0,1e-09
87,40000.0,1e-10
88,45000.0,1.0
89,45000.0,0.1
90,45000.0,0.01
91,45000.0,0.001
92,45000.0,0.0001
93,45000.0,1e-05
94,45000.0,1e-06
95,45000.0,1e-07
96,45000.0,1e-08
97,45000.0,1e-09
98,45000.0,1e-10
99,50000.0,1.0
100,50000.0,0.1
101,50000.0,0.01
102,50000.0,0.001
103,50000.0,0.0001
104,50000.0,1e-05
105,50000.0,1e-06
106,50000.0,1e-07
107,50000.0,1e-08
108,50000.0,1e-09
109,50000.0,1e-10
110,55000.0,1.0
111,55000.0,0.1
112,55000.0,0.01
113,55000.0,0.001
114,55000.0,0.0001
115,55000.0,1e-05
116,55000.0,1e-06
117,55000.0,1e-07
118,55000.0,1e-08
119,55000.0,1e-09
120,55000.0,1e-10
121,60000.0,1.0
122,60000.0,0.1
123,60000.0,0.01
124,60000.0,0.001
125,60000.0,0.0001
126,60000.0,1e-05
127,60000.0,1e-06
128,60000.0,1e-07
129,60000.0,1e-08
130,60000.0,1e-09
131,60000.0,1e-10
132,65000.0,1.0
133,65000.0,0.1
134,65000.0,0.01
135,65000.0,0.001
136,65000.0,0.0001
137,65000.0,1e-05
138,65000.0,1e-06
139,65000.0,1e-07
140,65000.0,1e-08
141,65000.0,1e-09
142,65000.0,1e-10
143,70000.0,1.0
144,70000.0,0.1
145,70000.0,0.01
146,70000.0,0.001
147,70000.0,0.0001
148,70000.0,1e-05
149,70000.0,1e-06
150,70000.0,1e-07
151,70000.0,1e-08
152,70000.0,1e-09
153,70000.0,1e-10
154,75000.0,1.0
155,75000.0,0.1
156,75000.0,0.01
157,75000.0,0.001
158,75000.0,0.0001
159,75000.0,1e-05
160,75000.0,1e-06
161,75000.0,1e-07
162,75000.0,1e-08
163,75000.0,1e-09
164,75000.0,1e-10
165,80000.0,1.0
166,80000.0,0.1
167,80000.0,0.01
168,80000.0,0.001
169,80000.0,0.0001
170,80000.0,1e-05
171,80000.0,1e-06
172,80000.0,1e-07
173,80000.0,1e-08
174,80000.0,1e-09
175,80000.0,1e-10
176,85000.0,1.0
177,85000.0,0.1
178,85000.0,0.01
179,85000.0,0.001
180,85000.0,0.0001
181,85000.0,1e-05
182,85000.0,1e-06
183,85000.0,1e-07
184,85000.0,1e-08
185,85000.0,1e-09
186,85000.0,1e-10
187,90000.0,1.0
188,90000.0,0.1
189,90000.0,0.01
190,90000.0,0.001
191,90000.0,0.0001
192,90000.0,1e-05
193,90000.0,1e-06
194,90000.0,1e-07
195,90000.0,1e-08
196,90000.0,1e-09
197,90000.0,1e-10
198,95000.0,1.0
199,95000.0,0.1
200,95000.0,0.01
201,95000.0,0.001
202,95000.0,0.0001
203,95000.0,1e-05
204,95000.0,1e-06
205,95000.0,1e-07
206,95000.0,1e-08
207,95000.0,1e-09
208,95000.0,1e-10
209,100000.0,1.0
210,100000.0,0.1
211,100000.0,0.01
212,100000.0,0.001
213,100000.0,0.0001
214,100000.0,1e-05
215,100000.0,1e-06
216,100000.0,1e-07
217,100000.0,1e-08
218,100000.0,1e-09
219,100000.0,1e-10
