time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
5.9396424e-18,29999650.542779755,2260.2743823489345
5.999038824e-16,29980483.436413594,2862.098215748996
1.1938681224e-15,29960402.753587734,3362.291804651549
1.7878323623999997e-15,29940630.17895981,3934.0964276584673
2.3817966024e-15,29920340.65765509,4339.262480303653
2.9757608424e-15,29899007.70281244,4787.141575819343
3.5697250823999995e-15,29878095.645751785,5176.4524010845735
4.1636893223999994e-15,29854492.3159578,5671.571960931285
4.7576535624e-15,29833217.176271025,6030.330230848918
5.3516178024e-15,29814634.542732388,6242.015824528603
5.9455820424e-15,29794301.56986327,6560.473987741326
6.5395462824e-15,29771003.812333465,6949.669154329437
7.1335105224e-15,29750145.64815133,7160.590784479122
7.7274747624e-15,29729517.882243834,7418.844170876182
8.3214390024e-15,29706097.506702743,7685.563669407957
8.9154032424e-15,29684917.39064721,7893.0083446476365
9.5093674824e-15,29663707.748962637,8220.403133122889
1.01033317224e-14,29641992.299928118,8464.059005159605
1.06972959624e-14,29621009.316286653,8671.044899215536
1.12912602024e-14,29596386.39960421,8932.418719309766
1.1885224442399999e-14,29575479.165259767,9165.383063481653
1.2479188682399999e-14,29551908.19575413,9470.822946976708
1.3073152922399999e-14,29531363.07457275,9655.200550417763
1.3667117162399999e-14,29508962.41889771,9818.793224159504
1.42610814024e-14,29482919.74553163,10099.757462092104
1.48550456424e-14,29460965.43253303,10365.6631991488
1.54490098824e-14,29438837.206867848,10570.722083169934
1.60429741224e-14,29417674.851091646,10724.06713300676
1.66369383624e-14,29392130.889270574,10992.258912588375
1.72309026024e-14,29364870.894276023,11263.817352524205
1.78248668424e-14,29345823.776734207,11400.806573823958
1.84188310824e-14,29323904.1126216,11573.415986726797
1.90127953224e-14,29300690.144338187,11807.094050829744
1.96067595624e-14,29281521.047727976,11965.563068585621
2.02007238024e-14,29260181.0035838,12130.934462285692
2.07946880424e-14,29241838.87229843,12274.653770186598
2.13886522824e-14,29221566.303605072,12483.701277586462
2.19826165224e-14,29198849.894131962,12666.729233217487
2.25765807624e-14,29181590.12832891,12807.573392932823
2.31705450024e-14,29156970.60359992,13014.899007157657
2.37645092424e-14,29133246.196165435,13227.451045205622
2.43584734824e-14,29111480.22482821,13458.545557264793
