family,label,condition,parameter_value,n_si,cutoff_lS,n_h,source_file,status,quality_flags,n_snapshots_seen,n_snapshots_kept,n_fit_points,fit_start_index,fit_end_index,fit_start_velocity_cm_s,fit_end_velocity_cm_s,fit_decay_fraction_of_start_velocity,start_time_s,end_time_s,initial_mean_velocity_cm_s,final_mean_velocity_cm_s,final_velocity_sem_cm_s,observed_decay_fraction,amplitude_cm_s,amplitude_sigma_cm_s,tau_s,tau_sigma_s,reduced_chi2,r_squared,wall_time_s,message
box,NSi100,1,100.0,100,2.0,10000,traj_dais_box_NSi100_c1.txt,ok,,1000,1000,149,10,159,29834963.038038496,26843083.69491444,0.10028098038229566,5.9455820424e-15,9.385228956239999e-14,29834963.038038496,26843083.69491444,126306.57618179133,0.1002809803822956,30103864.5330047,5181.017896058791,8.096384066569879e-13,3.4867358196910903e-15,0.3681425275092637,0.9973496077362155,nan,Both `ftol` and `xtol` termination conditions are satisfied.
box,NSi300,1,300.0,300,2.0,30000,traj_dais_box_NSi300_c1.txt,ok,,1000,1000,141,10,151,29784690.10829105,26782180.8548006,0.10080713422143853,5.9455820424e-15,8.910057564239999e-14,29784690.10829105,26782180.8548006,83076.86838602963,0.1008071342214385,30010749.908427034,1310.6582420604059,7.855471136606949e-13,7.91851454481708e-16,0.03500850672955195,0.9998857283080176,nan,Both `ftol` and `xtol` termination conditions are satisfied.
box,NSi1000,1,1000.0,1000,2.0,100000,traj_dais_box_NSi1000_c1.txt,ok,,1000,1000,140,10,150,29796330.90837502,26801726.27341926,0.10050246267449157,5.9455820424e-15,8.85066114024e-14,29796330.90837502,26801726.27341926,43672.85836113366,0.10050246267449159,30045981.482388888,2776.1130233352947,7.912315351693931e-13,1.8383389242739805e-15,0.8006311278329364,0.9990304743615298,nan,Both `ftol` and `xtol` termination conditions are satisfied.
box,NSi3000,1,3000.0,3000,2.0,300000,traj_dais_box_NSi3000_c1.txt,ok,,574,574,140,10,150,29794301.56986327,26797213.580962874,0.10059265802464491,5.9455820424e-15,8.85066114024e-14,29794301.56986327,26797213.580962874,25514.284982817797,0.1005926580246449,30028792.24271323,1159.3756874964176,7.8307137771254e-13,7.487546480377077e-16,0.38546072863480296,0.999835083724772,nan,Both `ftol` and `xtol` termination conditions are satisfied.
cutoff,1lS,1,1.0,1000,1.0,100000,traj_dais_cutoff_1lS_c1.txt,ok,,1000,1000,192,10,202,29855464.750154663,26860477.636993542,0.10031621139461931,5.9455820424e-15,1.193927518824e-13,29855464.750154663,26860477.636993542,45349.04691331707,0.10031621139461933,30035158.448008336,1056.3467592473596,1.0826297876521234e-12,9.863982482675385e-16,0.16086814022327167,0.9998161780053981,nan,Both `ftol` and `xtol` termination conditions are satisfied.
cutoff,2lS,1,2.0,1000,2.0,100000,traj_dais_cutoff_2lS_c1.txt,ok,,1000,1000,140,10,150,29796330.90837502,26801726.27341926,0.10050246267449157,5.9455820424e-15,8.85066114024e-14,29796330.90837502,26801726.27341926,43672.85836113366,0.10050246267449159,30045981.482388888,2776.1130233352947,7.912315351693931e-13,1.8383389242739805e-15,0.8006311278329364,0.9990304743615298,nan,Both `ftol` and `xtol` termination conditions are satisfied.
cutoff,3lS,1,3.0,1000,3.0,100000,traj_dais_cutoff_3lS_c1.txt,ok,,1000,1000,132,10,142,29780727.665824063,26788379.894687444,0.10047933699654339,5.9455820424e-15,8.37548974824e-14,29780727.665824063,26788379.894687444,44661.236486655755,0.10047933699654343,30043802.436769143,2161.9097410623267,7.399163664838651e-13,1.3354598811385945e-15,0.4378511950072255,0.9995052823550832,nan,Both `ftol` and `xtol` termination conditions are satisfied.
cutoff,4lS,1,4.0,1000,4.0,100000,traj_dais_cutoff_4lS_c1.txt,ok,,1000,1000,134,10,144,29769570.03907183,26788658.36329022,0.10013284276088763,5.9455820424e-15,8.49428259624e-14,29769570.03907183,26788658.36329022,42790.270827384906,0.10013284276088763,30026748.621962667,2007.7781990214817,7.608656851635832e-13,1.2384489963440671e-15,0.3555195280303551,0.9995768119615226,nan,Both `ftol` and `xtol` termination conditions are satisfied.
ratio,NSi30,1,30.0,30,2.0,100000,traj_dais_ratio_NSi30_c1.txt,ok,,1000,1000,139,10,149,29625389.74657411,26649977.3790827,0.10043453918899044,5.9455820424e-15,8.791264716239999e-14,29625389.74657411,26649977.3790827,225668.4002106577,0.10043453918899048,29910357.191789787,6899.088390324761,7.963551242043565e-13,3.885607812162131e-15,0.08034493451065874,0.9958588764288738,nan,Both `ftol` and `xtol` termination conditions are satisfied.
ratio,NSi100,1,100.0,100,2.0,100000,traj_dais_ratio_NSi100_c1.txt,ok,,1000,1000,134,10,144,29796556.200217906,26812404.110752203,0.10015090567559885,5.9455820424e-15,8.49428259624e-14,29796556.200217906,26812404.110752203,129472.80939687125,0.10015090567559881,30030704.557712693,3844.4455144633757,7.431551629775531e-13,2.216449963269897e-15,0.12898124814127565,0.9988124994377545,nan,`xtol` termination condition is satisfied.
ratio,NSi300,1,300.0,300,2.0,100000,traj_dais_ratio_NSi300_c1.txt,ok,,1000,1000,137,10,147,29750907.20378612,26758869.23984309,0.10056963787518594,5.9455820424e-15,8.672471868239999e-14,29750907.20378612,26758869.23984309,82189.53062088075,0.10056963787518591,30026984.54946076,2861.397040833387,7.72101218976341e-13,1.7938558692889802e-15,0.2054387599901666,0.9990421073663392,nan,Both `ftol` and `xtol` termination conditions are satisfied.
ratio,NSi1000,1,1000.0,1000,2.0,100000,traj_dais_ratio_NSi1000_c1.txt,ok,,1000,1000,140,10,150,29796330.90837502,26801726.27341926,0.10050246267449157,5.9455820424e-15,8.85066114024e-14,29796330.90837502,26801726.27341926,43672.85836113366,0.10050246267449159,30045981.482388888,2776.1130233352947,7.912315351693931e-13,1.8383389242739805e-15,0.8006311278329364,0.9990304743615298,nan,Both `ftol` and `xtol` termination conditions are satisfied.
