family,label,condition,parameter_value,n_si,cutoff_lS,n_h,source_file,status,quality_flags,n_snapshots_seen,n_snapshots_kept,n_fit_points,fit_start_index,start_time_s,end_time_s,initial_mean_velocity_cm_s,final_mean_velocity_cm_s,final_velocity_sem_cm_s,observed_decay_fraction,amplitude_cm_s,amplitude_sigma_cm_s,tau_s,tau_sigma_s,reduced_chi2,r_squared,wall_time_s,message
box,NSi100,0,100.0,100,2.0,10000,traj_dais_box_NSi100_c0.txt,review,low_r_squared,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,30013458.19335261,30013556.996502593,12441.68933574207,-3.2919615375881506e-06,30013493.081824783,2.396617059790949,69917815.62859513,0.0,3.644975742550471e-05,-4.49868066576542e-07,42.82789070007857,`xtol` termination condition is satisfied.
box,NSi300,0,300.0,300,2.0,30000,traj_dais_box_NSi300_c0.txt,ok,,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,30005532.02672048,30005411.410061065,7050.055129668895,4.01981405651064e-06,30005532.007647596,0.503539041635546,4.382052427297684e-05,3.5113465874629395e-07,1.2625095074264962e-06,0.9404353002743313,153.52785559999757,`ftol` termination condition is satisfied.
box,NSi1000,0,1000.0,1000,2.0,100000,traj_dais_box_NSi1000_c0.txt,ok,,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,30005688.733872965,30005195.58742653,3957.7439570399265,1.6435098384559588e-05,30005714.758136194,7.433343271451862,7.368177663367625e-06,1.4725913705854634e-07,0.0008920554987263507,0.714770704615844,490.1197162999306,`ftol` termination condition is satisfied.
box,NSi3000,0,3000.0,3000,2.0,300000,traj_dais_box_NSi3000_c0.txt,ok,,39558,396,386,10,1.607633027e-12,6.3439672527e-11,29999649.97274768,29999591.023264423,2261.9373509236366,1.9650057020426104e-06,29999628.97118035,0.4080994660309124,5.134964005245183e-05,1.0041167209523726e-06,3.156573478633149e-06,0.8720333140358129,589.3879467999795,`xtol` termination condition is satisfied.
box,NSi100,1,100.0,100,2.0,10000,traj_dais_box_NSi100_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29834963.038038496,12311575.107875472,242037.21781140572,0.5873440469097059,30391748.652676795,11130.012599352604,6.675529372988936e-13,1.1956151840861194e-15,3.0594411339984635,0.9969207639304154,47.04764630005229,`ftol` termination condition is satisfied.
box,NSi300,1,300.0,300,2.0,30000,traj_dais_box_NSi300_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29784690.10829105,12217792.298003515,135802.47808880822,0.5897962257259646,30313911.14704372,10776.132204608306,6.668473619136058e-13,9.852552362720307e-16,4.9924129967562765,0.9980828285991936,166.58657099993434,`ftol` termination condition is satisfied.
box,NSi1000,1,1000.0,1000,2.0,100000,traj_dais_box_NSi1000_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29796330.90837502,12302771.13113226,70129.95216070971,0.5871044938732959,30313637.56243554,9449.173767869574,6.658574393573191e-13,9.452009350594092e-16,18.24415698161631,0.9981542292795647,534.1368732000701,`ftol` termination condition is satisfied.
box,NSi3000,1,3000.0,3000,2.0,300000,traj_dais_box_NSi3000_c1.txt,ok,,57370,574,564,10,5.9455820424e-15,3.4034744916239996e-13,29794301.56986327,18098547.473167475,45174.56273789907,0.39255003408188527,30181460.274576854,8602.443140231282,6.998096747897098e-13,1.4817129051251718e-15,35.57781541780875,0.9966785254244458,910.7745930999517,`ftol` termination condition is satisfied.
cutoff,1lS,0,1.0,1000,1.0,100000,traj_dais_cutoff_1lS_c0.txt,ok,,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,30005686.13173636,30005611.901513558,3897.2544318383243,2.473871868025057e-06,30005747.121024944,0.6005589062982619,3.4537611551196156e-05,2.60054231422984e-07,5.858739876031967e-06,0.9468356910092219,563.7511810000287,`xtol` termination condition is satisfied.
cutoff,2lS,0,2.0,1000,2.0,100000,traj_dais_cutoff_2lS_c0.txt,ok,,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,30005688.733872965,30005195.58742653,3957.7439570399265,1.6435098384559588e-05,30005714.758136194,7.433343271451862,7.368177663367625e-06,1.4725913705854634e-07,0.0008920554987263507,0.714770704615844,555.3101728999754,`ftol` termination condition is satisfied.
cutoff,3lS,0,3.0,1000,3.0,100000,traj_dais_cutoff_3lS_c0.txt,ok,,96612,966,956,10,1.607633027e-12,1.54983211527e-10,30005686.897349723,30005576.196605477,3905.5052894322175,3.6893254476977333e-06,30005699.916535947,0.5206353121013932,3.6719817216816284e-05,2.640564490617549e-07,4.24728021393323e-06,0.9529679513697613,517.3702761000022,`ftol` termination condition is satisfied.
cutoff,4lS,0,4.0,1000,4.0,100000,traj_dais_cutoff_4lS_c0.txt,review,low_r_squared,79137,792,782,10,1.607633027e-12,1.27038341727e-10,30005687.320749845,30005648.335084435,3908.2398373002743,1.299275867117089e-06,30005671.692472916,0.8720541742220149,0.00016174812751888954,1.0496427183943718e-05,9.765769813775973e-06,0.23337523554904205,438.66365249990486,`xtol` termination condition is satisfied.
cutoff,1lS,1,1.0,1000,1.0,100000,traj_dais_cutoff_1lS_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29855464.750154663,16624608.55145161,75422.27870084856,0.44316363216668775,30118483.234675203,3237.6134080385127,1.0107428912994755e-12,6.776946848751403e-16,2.656223168024209,0.9994839049185047,501.90136919997167,Both `ftol` and `xtol` termination conditions are satisfied.
cutoff,2lS,1,2.0,1000,2.0,100000,traj_dais_cutoff_2lS_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29796330.90837502,12302771.13113226,70129.95216070971,0.5871044938732959,30313637.56243554,9449.173767869574,6.658574393573191e-13,9.452009350594092e-16,18.24415698161631,0.9981542292795647,483.8735384999309,`ftol` termination condition is satisfied.
cutoff,3lS,1,3.0,1000,3.0,100000,traj_dais_cutoff_3lS_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29780727.665824063,11250177.242706014,66605.5892417733,0.6222329632456712,30374244.092705965,12398.64067900775,6.081481230771353e-13,1.044116672130402e-15,28.63428406107755,0.9970442299296611,441.00577030004933,`ftol` termination condition is satisfied.
cutoff,4lS,1,4.0,1000,4.0,100000,traj_dais_cutoff_4lS_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29769570.03907183,11069977.680500751,68561.44219799823,0.6281445225452811,30438229.358290385,14411.694881955773,5.992468383954772e-13,1.1982776497011308e-15,37.24716662673348,0.9964965839565765,435.118445900036,`ftol` termination condition is satisfied.
ratio,NSi30,0,30.0,30,2.0,100000,traj_dais_ratio_NSi30_c0.txt,review,low_r_squared,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,29991113.033205476,29991177.285201773,19735.667093173965,-2.1423678482346276e-06,29991143.624839474,1.9978319258306063,110248.5897786457,0.0,1.0172042069559305e-05,-1.5258968466991263e-05,24.978328199940734,`xtol` termination condition is satisfied.
ratio,NSi100,0,100.0,100,2.0,100000,traj_dais_ratio_NSi100_c0.txt,ok,,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,30015647.28568704,30015512.559055418,12099.67222935886,4.4885466017330344e-06,30015656.51414407,0.46761273285834937,3.518383176846572e-05,2.1027797457906723e-07,3.7088134088595706e-07,0.9659038866020597,55.959477100055665,`xtol` termination condition is satisfied.
ratio,NSi300,0,300.0,300,2.0,100000,traj_dais_ratio_NSi300_c0.txt,ok,,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,30009504.89282841,30009267.721907526,6917.5325171324175,7.903193395830677e-06,30009539.735373233,1.2563847778650066,1.8162036193763224e-05,1.5055603465927436e-07,8.160440340758197e-06,0.9364134964550025,143.62534749996848,`ftol` termination condition is satisfied.
ratio,NSi1000,0,1000.0,1000,2.0,100000,traj_dais_ratio_NSi1000_c0.txt,ok,,100021,1000,990,10,1.607633027e-12,1.60443703327e-10,30005688.733872965,30005195.58742653,3957.7439570399265,1.6435098384559588e-05,30005714.758136194,7.433343271451862,7.368177663367625e-06,1.4725913705854634e-07,0.0008920554987263507,0.714770704615844,381.7883909000084,`ftol` termination condition is satisfied.
ratio,NSi30,1,30.0,30,2.0,100000,traj_dais_ratio_NSi30_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29625389.74657411,8620163.651627176,458787.9917590355,0.7090278397898879,30701626.29355717,34267.769182485026,5.628492144346057e-13,2.5068601074060946e-15,4.442770536042094,0.9810627093777067,22.306666300049983,`ftol` termination condition is satisfied.
ratio,NSi100,1,100.0,100,2.0,100000,traj_dais_ratio_NSi100_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29796556.200217906,8597569.95994171,189472.34726767286,0.7114575958989907,30751111.018159255,36310.82557505639,5.460539194229471e-13,2.3692500235291093e-15,22.85203485367231,0.9814695683005681,64.38857469998766,`ftol` termination condition is satisfied.
ratio,NSi300,1,300.0,300,2.0,100000,traj_dais_ratio_NSi300_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29750907.20378612,9212293.786085794,116858.19309176606,0.6903525084803656,30706017.04930189,28834.177291142212,5.486284669867271e-13,1.9879526271209624e-15,42.489598075059114,0.9874109127422812,168.20281489996705,`ftol` termination condition is satisfied.
ratio,NSi1000,1,1000.0,1000,2.0,100000,traj_dais_ratio_NSi1000_c1.txt,ok,,100021,1000,990,10,5.9455820424e-15,5.933762154023999e-13,29796330.90837502,12302771.13113226,70129.95216070971,0.5871044938732959,30313637.56243554,9449.173767869574,6.658574393573191e-13,9.452009350594092e-16,18.24415698161631,0.9981542292795647,278.79141629999503,`ftol` termination condition is satisfied.
