time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
1.606027e-15,30005688.794427074,3911.9524013319765
1.62208727e-13,30005691.756937373,3911.9309264288677
3.22811427e-13,30005687.82275579,3911.92518197789
4.83414127e-13,30005689.845458176,3911.8869657936075
6.44016827e-13,30005687.501768317,3911.9341233361065
8.04619527e-13,30005686.412157215,3911.8771452368123
9.65222227e-13,30005687.85375929,3911.884671654344
1.125824927e-12,30005687.666022766,3911.9739443457493
1.286427627e-12,30005687.753605753,3911.9968949500576
1.447030327e-12,30005687.31005718,3911.995390041385
1.607633027e-12,30005687.320749845,3912.092976356209
1.768235727e-12,30005686.820997354,3912.117460403028
1.928838427e-12,30005685.73616851,3912.2637796910867
2.089441127e-12,30005687.30049124,3912.1396921976907
2.250043827e-12,30005688.050522376,3912.1661803345273
2.410646527e-12,30005688.708136026,3912.186168399636
2.571249227e-12,30005689.133525573,3912.1006201313944
2.731851927e-12,30005689.28853884,3912.005258658295
2.892454627e-12,30005687.573661767,3911.9071526565886
3.053057327e-12,30005687.677415762,3911.8448266481837
3.213660027e-12,30005689.603831932,3911.7400042918143
3.374262727e-12,30005684.436095633,3911.427222099428
3.534865427e-12,30005686.72825795,3911.0464147614953
3.695468127e-12,30005687.74860888,3910.775778276043
3.856070827e-12,30005687.590855025,3910.307317855005
4.016673527e-12,30005687.15235556,3910.4287020452116
4.177276227e-12,30005685.678407226,3910.8735194663473
4.337878927e-12,30005684.202686906,3911.0519779762494
4.498481627e-12,30005685.554074127,3911.032206978003
4.659084327e-12,30005684.907852057,3910.983489250756
4.819687027e-12,30005684.3902074,3910.8856671234216
4.980289727e-12,30005684.59110607,3910.8959367822213
5.140892427e-12,30005684.81913951,3910.6900848619257
5.301495127e-12,30005681.98934362,3910.844369981979
5.462097827e-12,30005686.2112543,3910.8324448293174
5.622700527e-12,30005685.13179932,3910.8637679523986
5.783303227e-12,30005684.500192303,3910.9089107439813
5.943905927e-12,30005683.847684253,3910.900938981055
6.104508627e-12,30005684.93025681,3910.896090260825
6.265111327e-12,30005684.030262936,3910.858577123082
6.425714027e-12,30005684.41454651,3910.897188680711
6.586316727e-12,30005685.84416681,3911.0524723496783
6.746919427e-12,30005685.712795164,3911.168040592145
6.907522127e-12,30005684.18581557,3911.254258910346
7.068124827e-12,30005683.526268974,3911.2966253278305
7.228727527e-12,30005683.5400778,3911.375394479087
7.389330227e-12,30005683.629271813,3911.4972957981813
7.549932927e-12,30005682.293144904,3911.4080755706973
7.710535627e-12,30005682.616445147,3911.458374947077
7.871138327e-12,30005684.54296862,3911.508973654695
8.031741027e-12,30005684.439375587,3911.4183091324226
8.192343727e-12,30005682.668994933,3911.377290992187
8.352946427e-12,30005684.523680035,3911.4644944962974
8.513549127e-12,30005682.675443295,3911.405593175386
8.674151827e-12,30005682.341881033,3911.452103012753
8.834754527e-12,30005682.222920388,3911.35808274409
8.995357227e-12,30005684.167550653,3911.3116390128375
9.155959927e-12,30005684.914733894,3911.29380972604
9.316562627e-12,30005683.27223173,3911.243022261046
9.477165327e-12,30005682.62284126,3911.3412424932344
9.637768027e-12,30005682.038678437,3911.2846208989918
9.798370727e-12,30005683.810297374,3911.247332560509
9.958973427e-12,30005680.574403346,3911.2695105129887
1.0119576127e-11,30005679.75457551,3911.1295804823244
1.0280178827e-11,30005682.35563621,3911.2939477954415
1.0440781527e-11,30005680.981950134,3911.1789675817904
1.0601384227e-11,30005680.0695975,3911.2546919866586
1.0761986927e-11,30005677.836755257,3911.2103294028825
1.0922589627e-11,30005679.58967438,3911.1665048673513
1.1083192327e-11,30005681.999940302,3911.103415623141
1.1243795027e-11,30005678.31609102,3910.94216185203
1.1404397727e-11,30005681.268391535,3911.0438117119606
1.1565000427e-11,30005680.202906348,3910.8997665453235
1.1725603127e-11,30005679.534439072,3910.9043280391456
1.1886205827e-11,30005678.691024683,3910.9126336778195
1.2046808527e-11,30005680.380272124,3910.8914183599554
1.2207411227e-11,30005680.08007555,3910.9223290115215
1.2368013927e-11,30005680.369309776,3910.8746299856293
1.2528616627e-11,30005677.171243187,3910.868003344936
1.2689219327e-11,30005679.906955495,3910.8094138352676
1.2849822027e-11,30005678.332960937,3910.8816519659485
1.3010424727e-11,30005677.830791198,3910.826331852103
1.3171027427e-11,30005679.806532275,3910.75513035316
1.3331630127e-11,30005677.55316317,3910.6074752828054
1.3492232827e-11,30005679.118186224,3910.649843465998
1.3652835527e-11,30005678.282400582,3910.579358686765
1.3813438227e-11,30005679.08621554,3910.486641915246
1.3974040927e-11,30005678.26945304,3910.5395205311593
1.4134643627e-11,30005678.112612717,3910.374378166959
1.4295246327e-11,30005677.248941146,3910.364306701748
1.4455849027e-11,30005675.277606755,3910.2873591181733
1.4616451727e-11,30005676.911350615,3910.32416431186
1.4777054427e-11,30005676.040102538,3910.483015223295
1.4937657127e-11,30005676.510408897,3910.54232009733
1.5098259827e-11,30005677.44532724,3910.572592825599
1.5258862527e-11,30005678.834540483,3910.657237349707
1.5419465227e-11,30005676.857724916,3910.673200577437
1.5580067927e-11,30005677.71016587,3910.768389347888
1.5740670627e-11,30005676.47537429,3910.8672417545918
1.5901273327e-11,30005675.936613984,3910.9364087505883
1.6061876027e-11,30005675.92033425,3910.9780508151093
1.6222478727e-11,30005679.032916013,3911.0190771122684
1.6383081427e-11,30005679.03076703,3911.080490584964
1.6543684127e-11,30005678.7841425,3911.1216531896166
1.6704286827e-11,30005679.09723296,3911.203000969166
1.6864889527e-11,30005677.4237273,3911.179058674407
1.7025492227e-11,30005679.629974138,3911.1778875606356
1.7186094927e-11,30005679.16240695,3911.1767836772888
1.7346697627e-11,30005675.034524783,3911.1434338242966
1.7507300327e-11,30005677.98988781,3911.0955121267702
1.7667903027e-11,30005677.220890015,3911.036008795691
1.7828505727e-11,30005675.69874634,3911.1087663639705
1.7989108427e-11,30005677.25715866,3911.094864251895
1.8149711127e-11,30005673.784796234,3911.000831574534
1.8310313827e-11,30005675.210761003,3910.933253347251
1.8470916527e-11,30005674.11094012,3910.9507097564074
1.8631519227e-11,30005674.95344239,3910.80152370654
1.8792121927e-11,30005675.225966245,3910.8205071591583
1.8952724627e-11,30005675.25917238,3910.8080769579424
1.9113327327e-11,30005676.77116135,3910.771685656563
1.9273930027e-11,30005675.15923346,3910.7398541753264
1.9434532727e-11,30005676.279201392,3910.7410192325415
1.9595135427e-11,30005676.34040076,3910.720920231413
1.9755738127e-11,30005677.011231627,3910.7364846758296
1.9916340827e-11,30005674.827981144,3910.6343035253944
2.0076943527e-11,30005675.033717148,3910.475058131251
2.0237546227e-11,30005675.90109649,3910.4457390133143
2.0398148927e-11,30005676.104629856,3910.2719999056667
2.0558751627e-11,30005677.241308164,3910.284581287783
2.0719354327e-11,30005676.3195548,3910.247158815321
2.0879957027e-11,30005676.91102586,3910.267940233271
2.1040559727e-11,30005673.780124113,3910.1713538954173
2.1201162427e-11,30005677.008978173,3910.149338299568
2.1361765127e-11,30005674.65787278,3910.0935787833123
2.1522367827e-11,30005675.3040412,3910.1181638168077
2.1682970527e-11,30005673.715269215,3910.0312352925307
2.1843573227e-11,30005676.35200979,3909.974287052247
2.2004175927e-11,30005673.2607597,3909.849514068835
2.2164778627e-11,30005675.309252687,3909.6891508945246
2.2325381327e-11,30005675.572213434,3909.6903465539212
2.2485984027e-11,30005674.46175495,3909.583142157396
2.2646586727e-11,30005674.084564995,3909.273610514179
2.2807189427e-11,30005676.12521321,3909.143082616571
2.2967792127e-11,30005675.223767854,3908.9383959810702
2.3128394827e-11,30005676.00163126,3908.9330992710547
2.3288997527e-11,30005674.715903748,3908.92077573566
2.3449600227e-11,30005677.05943264,3908.923941435614
2.3610202927e-11,30005676.425138682,3908.9711659139966
2.3770805627e-11,30005674.93700595,3909.319717596756
2.3931408327e-11,30005675.485007435,3909.412380061643
2.4092011027e-11,30005675.16256707,3909.5387133624736
2.4252613727e-11,30005677.601738334,3909.4553561864277
2.4413216427e-11,30005674.439026862,3909.4754640777787
2.4573819127e-11,30005675.246227674,3909.3543768670434
2.4734421827e-11,30005671.25068576,3909.403971676945
2.4895024527e-11,30005671.912221793,3909.4551268048103
2.5055627227e-11,30005672.58756665,3909.452014340235
2.5216229927e-11,30005672.714211114,3909.5000651686164
2.5376832627e-11,30005673.553056434,3909.5446994157833
2.5537435327e-11,30005669.814241525,3909.5813549001346
2.5698038027e-11,30005671.50725322,3909.631212651785
2.5858640727e-11,30005671.411826875,3909.5668507330565
2.6019243427e-11,30005671.008630287,3909.5779008073646
2.6179846127e-11,30005672.553502053,3909.5939833713937
2.6340448827e-11,30005671.91329911,3909.611093973623
2.6501051527e-11,30005672.30242002,3909.594266973216
2.6661654227e-11,30005672.574352264,3909.4538987606093
2.6822256927e-11,30005670.969731193,3909.483438188953
2.6982859627e-11,30005671.955533233,3909.5073675028193
2.7143462327e-11,30005671.464969687,3909.514152806434
2.7304065027e-11,30005672.08083493,3909.5045217409643
2.7464667727e-11,30005670.623652045,3909.445028792232
2.7625270427e-11,30005671.351332083,3909.424449166511
2.7785873127e-11,30005670.97016467,3909.345260677783
2.7946475827e-11,30005670.16930491,3909.2367372223553
2.8107078527e-11,30005671.715842772,3909.0365874990403
2.8267681227e-11,30005669.920422677,3908.9234813243743
2.8428283927e-11,30005673.733494632,3908.921564440155
2.8588886627e-11,30005672.77858879,3908.948522360657
2.8749489327e-11,30005672.46120037,3909.2864434697226
2.8910092027e-11,30005669.21832145,3909.5056452679355
2.9070694727e-11,30005673.416750062,3909.679211194358
2.9231297427e-11,30005671.0885323,3909.6965229643797
2.9391900127e-11,30005671.523377646,3909.7462000916785
2.9552502827e-11,30005671.75925586,3909.7822486470686
2.9713105527e-11,30005668.85300171,3909.761522903085
2.9873708227e-11,30005666.2747764,3909.7364017801788
3.0034310927e-11,30005667.77446168,3909.6568625436175
3.0194913627e-11,30005667.11185257,3909.7544496029986
3.0355516327e-11,30005667.79219289,3909.5595075653464
3.0516119027e-11,30005667.687793635,3909.5378858649738
3.0676721727e-11,30005667.80127311,3909.3722564455215
3.0837324427e-11,30005665.731610827,3909.200564033298
3.0997927127e-11,30005667.24666514,3909.1173194025055
3.1158529827e-11,30005663.85360745,3908.7409872493326
3.1319132527e-11,30005666.553589065,3908.428566099545
3.1479735227e-11,30005669.283873852,3908.0929651815786
3.1640337927e-11,30005669.571495634,3907.881500744601
3.1800940627e-11,30005666.33049884,3907.7272903069775
3.1961543327e-11,30005665.95744305,3907.5109245275125
3.2122146027e-11,30005665.070023973,3907.318967626989
