time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
1.606027e-15,30015645.796253875,12085.539691489865
1.62208727e-13,30015640.535994183,12085.933450364217
3.22811427e-13,30015650.760993343,12085.196470378312
4.83414127e-13,30015656.18621063,12085.008642154902
6.44016827e-13,30015641.588585496,12084.912598785533
8.04619527e-13,30015644.070418693,12085.066742136474
9.65222227e-13,30015649.88948407,12084.970762666104
1.125824927e-12,30015642.267208897,12085.416667756817
1.286427627e-12,30015647.405504733,12085.494496161027
1.447030327e-12,30015650.281722564,12085.388965159567
1.607633027e-12,30015647.28568704,12085.723077037419
1.768235727e-12,30015643.46380455,12086.280285364077
1.928838427e-12,30015650.42626344,12085.553260254706
2.089441127e-12,30015648.417799104,12084.179935192305
2.250043827e-12,30015646.140683904,12085.194223167322
2.410646527e-12,30015643.795865916,12085.489234617004
2.571249227e-12,30015645.480867624,12085.25575061332
2.731851927e-12,30015648.49410066,12085.80290290343
2.892454627e-12,30015650.42304422,12085.680356024346
3.053057327e-12,30015646.72904164,12085.84717151241
3.213660027e-12,30015649.505858507,12085.59786915433
3.374262727e-12,30015652.537362117,12084.814677647537
3.534865427e-12,30015645.084336843,12085.100086920025
3.695468127e-12,30015654.47113451,12085.177450351337
3.856070827e-12,30015654.301884606,12085.570847825324
4.016673527e-12,30015648.02772093,12084.533858623236
4.177276227e-12,30015650.261856522,12085.638415601481
4.337878927e-12,30015643.31927782,12085.447246791562
4.498481627e-12,30015649.140489355,12084.747810844401
4.659084327e-12,30015646.11597488,12086.0068858636
4.819687027e-12,30015648.34204825,12085.587244006905
4.980289727e-12,30015639.377041098,12086.353170030272
5.140892427e-12,30015643.456293017,12085.590008884665
5.301495127e-12,30015642.965190105,12086.326621555218
5.462097827e-12,30015637.675914947,12085.411895635054
5.622700527e-12,30015637.95101842,12085.93707052439
5.783303227e-12,30015639.636556678,12086.019563255923
5.943905927e-12,30015643.50733485,12085.968468233592
6.104508627e-12,30015643.8899015,12086.024722731925
6.265111327e-12,30015643.773303032,12086.020925132034
6.425714027e-12,30015642.917367507,12085.99000559592
6.586316727e-12,30015639.98204563,12085.705609723327
6.746919427e-12,30015645.781230822,12085.951015793133
6.907522127e-12,30015642.323644403,12085.599252000009
7.068124827e-12,30015646.884327423,12085.839610958885
7.228727527e-12,30015639.62688485,12085.673021287188
7.389330227e-12,30015641.943760432,12084.644321103255
7.549932927e-12,30015643.914610527,12086.054843721411
7.710535627e-12,30015637.135916356,12085.672044789793
7.871138327e-12,30015637.873107266,12085.764618694771
8.031741027e-12,30015636.186495937,12085.168875636617
8.192343727e-12,30015640.98144896,12085.518358097448
8.352946427e-12,30015637.26971234,12085.352697090715
8.513549127e-12,30015637.386310805,12085.872540704959
8.674151827e-12,30015643.422448706,12085.767617592723
8.834754527e-12,30015641.160907235,12084.812087020657
8.995357227e-12,30015636.265480172,12085.208406612335
9.155959927e-12,30015643.148418296,12085.885773138833
9.316562627e-12,30015645.48517408,12085.589596583062
9.477165327e-12,30015638.795672506,12085.302355390866
9.637768027e-12,30015646.467379898,12085.257810610728
9.798370727e-12,30015646.31048451,12084.71510281941
9.958973427e-12,30015645.866131123,12085.572948501695
1.0119576127e-11,30015642.000732485,12085.46037640931
1.0280178827e-11,30015644.8473983,12085.5903605059
1.0440781527e-11,30015645.96177634,12085.370147585048
1.0601384227e-11,30015652.904355034,12084.833738235051
1.0761986927e-11,30015638.30780298,12085.5578292233
1.0922589627e-11,30015650.540193383,12085.591218832864
1.1083192327e-11,30015651.50359209,12085.08960706324
1.1243795027e-11,30015652.852240138,12085.3793708513
1.1404397727e-11,30015643.17153187,12086.499527500113
1.1565000427e-11,30015644.380482033,12085.734025139875
1.1725603127e-11,30015644.713616475,12085.097340613633
1.1886205827e-11,30015651.675538834,12086.855410985585
1.2046808527e-11,30015645.99348865,12086.018317307668
1.2207411227e-11,30015650.316145886,12085.429904732468
1.2368013927e-11,30015655.45605134,12086.168769390953
1.2528616627e-11,30015652.522339076,12086.07094635443
1.2689219327e-11,30015655.69622327,12085.64482855194
1.2849822027e-11,30015646.14124876,12085.525144650008
1.3010424727e-11,30015656.43448724,12085.568089726545
1.3171027427e-11,30015652.979583513,12085.50175943691
1.3331630127e-11,30015655.056287173,12085.583189939167
1.3492232827e-11,30015650.46819829,12086.08989945448
1.3652835527e-11,30015651.887768358,12086.164053066732
1.3813438227e-11,30015648.73698359,12086.305810089849
1.3974040927e-11,30015658.51816589,12086.677155824715
1.4134643627e-11,30015648.561817612,12085.929206674276
1.4295246327e-11,30015651.19087437,12086.36239256071
1.4455849027e-11,30015644.474503472,12086.076768061293
1.4616451727e-11,30015655.171261877,12086.467784329585
1.4777054427e-11,30015646.31747365,12085.51666669812
1.4937657127e-11,30015649.04324869,12086.660438206874
1.5098259827e-11,30015642.34729452,12087.31555285455
1.5258862527e-11,30015647.252929945,12086.314462310967
1.5419465227e-11,30015647.133648798,12087.31152076711
1.5580067927e-11,30015646.453415774,12086.927785475667
1.5740670627e-11,30015644.117196526,12086.495781095746
1.5901273327e-11,30015642.44992886,12086.884341724734
1.6061876027e-11,30015646.30781598,12087.846082187865
1.6222478727e-11,30015645.450270843,12086.519649345311
1.6383081427e-11,30015635.374104872,12088.533538336866
1.6543684127e-11,30015651.5057524,12087.148056937283
1.6704286827e-11,30015645.191291805,12087.002064571872
1.6864889527e-11,30015642.678296972,12087.459814633188
1.7025492227e-11,30015648.745059956,12086.652018854415
1.7186094927e-11,30015634.2162107,12087.389557094679
1.7346697627e-11,30015643.45524826,12087.985011903738
1.7507300327e-11,30015640.580640033,12087.341954977399
1.7667903027e-11,30015644.39499685,12087.573144742306
1.7828505727e-11,30015633.600447092,12087.28283228966
1.7989108427e-11,30015642.314537436,12087.422529716448
1.8149711127e-11,30015631.035337362,12087.582790888353
1.8310313827e-11,30015628.808727447,12086.94843197978
1.8470916527e-11,30015638.325014643,12087.235442458164
1.8631519227e-11,30015640.325416755,12087.716824009072
1.8792121927e-11,30015640.687566686,12087.514320863913
1.8952724627e-11,30015650.035140503,12087.77047909707
1.9113327327e-11,30015639.19330468,12087.402640471137
1.9273930027e-11,30015638.229369435,12087.199323827645
1.9434532727e-11,30015645.24126055,12087.49819037556
1.9595135427e-11,30015640.751499563,12086.40672071033
1.9755738127e-11,30015638.90852938,12086.664386358956
1.9916340827e-11,30015641.546184894,12087.594524216687
2.0076943527e-11,30015636.828069948,12087.704892294369
2.0237546227e-11,30015632.818666965,12086.600619689001
2.0398148927e-11,30015632.266850404,12087.118448083937
2.0558751627e-11,30015636.67010149,12087.390488942941
2.0719354327e-11,30015630.15092289,12087.763817594134
2.0879957027e-11,30015640.846071687,12087.863004717245
2.1040559727e-11,30015635.42838008,12087.7029951148
2.1201162427e-11,30015642.52785418,12088.382405862696
2.1361765127e-11,30015641.453773066,12088.236405452744
2.1522367827e-11,30015633.150191803,12088.52095568817
2.1682970527e-11,30015638.0461554,12088.068223683034
2.1843573227e-11,30015637.37934998,12088.120019694601
2.2004175927e-11,30015641.140518814,12087.971181742036
2.2164778627e-11,30015639.01330988,12088.496559995127
2.2325381327e-11,30015639.08907488,12088.690625908726
2.2485984027e-11,30015636.21339359,12087.164901494649
2.2646586727e-11,30015637.009152,12087.429606927086
2.2807189427e-11,30015637.098344587,12087.20299663812
2.2967792127e-11,30015632.271693397,12087.71097741581
2.3128394827e-11,30015631.326565277,12087.487173569914
2.3288997527e-11,30015630.30298946,12087.019553855785
2.3449600227e-11,30015635.275254607,12086.865160469686
2.3610202927e-11,30015637.098881137,12086.373692364541
2.3770805627e-11,30015639.630146537,12086.745049431973
2.3931408327e-11,30015634.056096077,12086.04234067475
2.4092011027e-11,30015643.807189822,12086.32108963308
2.4252613727e-11,30015635.148447767,12086.066398227793
2.4413216427e-11,30015635.335431714,12085.321390166127
2.4573819127e-11,30015635.303197023,12085.848122164422
2.4734421827e-11,30015637.08384393,12086.720007605327
2.4895024527e-11,30015642.75729536,12087.447996088364
2.5055627227e-11,30015639.514635306,12087.10571628108
2.5216229927e-11,30015635.435919918,12088.427906297138
2.5376832627e-11,30015640.282451306,12089.034110476312
2.5537435327e-11,30015634.868515458,12089.587696874503
2.5698038027e-11,30015635.104931623,12090.062574458603
2.5858640727e-11,30015640.03044725,12090.938568573325
2.6019243427e-11,30015641.085721236,12091.130778640087
2.6179846127e-11,30015635.157583054,12091.607041680996
2.6340448827e-11,30015626.81531448,12091.872315648348
2.6501051527e-11,30015632.861660734,12091.611922009673
2.6661654227e-11,30015643.284388736,12092.656283177048
2.6822256927e-11,30015638.272899732,12093.403041232606
2.6982859627e-11,30015634.098539144,12093.374361377337
2.7143462327e-11,30015631.20190458,12093.141788347984
2.7304065027e-11,30015636.479898315,12092.630706514237
2.7464667727e-11,30015639.38727778,12093.219579068029
2.7625270427e-11,30015630.49265609,12093.264311365474
2.7785873127e-11,30015631.172889102,12093.912265712366
2.7946475827e-11,30015633.64826969,12093.627120650515
